noteId,tweetId,note_count
1854491819179970950,1854247807735214298,3979
1652038665491628032,1651997504089600015,3950
1863511866464411813,1796665674535711051,3950
1767358756386435353,1767292817112756635,3932
1703265635667443760,1703207392270241807,3913
1687718445666963849,1687698537469898753,3904
1691166269410537555,1690932695432613889,3885
1862568418450231425,1862533475611316630,3867
1670478147249405952,1670385917574410242,3850
1652068616592842755,1652033449363120128,3835
1815146324461080996,1815132922506068058,3832
1819047599447699916,1819007216214573268,3814
1742661428056817728,1742373480023101827,3810
1676161872989413376,1676079422489890816,3784
1725711262930161773,1725704866415141027,3778
1836141227902726562,1836095864672006420,3732
1873436318065434720,1873417011294093499,3726
1865532987141407032,1865224853021757490,3725
1711738485936107527,1711699678604018136,3716
1880335414776471931,1880334350044012843,3706
1523189843953655809,1522948044043468800,3700
1679265571433598979,1679203593424093184,3700
1870491804443066461,1870435571895833074,3679
1724338676870574354,1723426360327020602,3677
1682554620248494080,1682484814719647745,3669
1699159156060475887,1693515649807474726,3668
1868722687050461639,1868691840624730462,3668
1806585848827359329,1806521190086742516,3646
1847435908095549467,1847298517225640186,3643
1651373860862787586,1651307624418164736,3606
1676967279874154499,1676704401438941184,3601
1740460648008458645,1740453666321232151,3594
1681303651661516800,1681280668683345920,3589
1761856343122555042,1761835728000954654,3588
1786520405206818879,1786310029718773760,3557
1653737394527432704,1653550186457645063,3553
1697271026541826258,1697059745142542540,3523
1624252144281874432,1624125895970529280,3516
1597230938316054532,1597170780130852864,3505
1673306747132362753,1673247890582413313,3496
1642424873623646216,1640756430142676992,3469
1745978835810627802,1745916091988095042,3454
1653322453165154305,1653149291446251520,3433
1620649512950796288,1620569500839186432,3420
1714777613359800372,1714763287613538361,3404
1661846210754347009,1661837789460045845,3402
1654103704683921412,1653926555763236864,3398
1677545815458594819,1677059911992360961,3398
1846546797474312455,1846314615501672847,3394
1659334653831000065,1659254437293039624,3375
1726715003414237216,1725196796618817785,3372
1846733630028091695,1846605254864888180,3371
1792708562747019705,1792633786506645855,3366
1813630623413629294,1511311385543815180,3343
1706051963991818320,1705841969845403788,3339
